agency_cd,site_no,datetime,293221_00060_00003,293221_00060_00003_cd
USGS,1589000,11/6/2015,68.5,A
USGS,1589000,11/7/2015,65.5,A
USGS,1589000,11/8/2015,62.5,A
USGS,1589000,11/9/2015,61.3,A
USGS,1589000,11/10/2015,154,A
USGS,1589000,11/11/2015,131,A
USGS,1589000,11/12/2015,106,A
USGS,1589000,11/13/2015,106,A
USGS,1589000,11/14/2015,94.8,A
USGS,1589000,11/15/2015,82.8,A
USGS,1589000,11/16/2015,74.4,A
USGS,1589000,11/17/2015,72.2,A
USGS,1589000,11/18/2015,69,A
USGS,1589000,11/19/2015,80.1,A
USGS,1589000,11/20/2015,108,A
USGS,1589000,11/21/2015,81.5,A
USGS,1589000,11/22/2015,75.3,A
USGS,1589000,11/23/2015,71.5,A
USGS,1589000,11/24/2015,68,A
USGS,1589000,11/25/2015,65.9,A
USGS,1589000,11/26/2015,65.3,A
USGS,1589000,11/27/2015,65.3,A
USGS,1589000,11/28/2015,65.5,A
USGS,1589000,11/29/2015,96.4,A
USGS,1589000,11/30/2015,93.4,A
USGS,1589000,12/1/2015,252,A
USGS,1589000,12/2/2015,256,A
USGS,1589000,12/3/2015,259,A
USGS,1589000,12/4/2015,199,A
USGS,1589000,12/5/2015,169,A
USGS,1589000,12/6/2015,152,A
USGS,1589000,12/7/2015,135,A
USGS,1589000,12/8/2015,119,A
USGS,1589000,12/9/2015,110,A
USGS,1589000,12/10/2015,104,A
USGS,1589000,12/11/2015,95.2,A
USGS,1589000,12/12/2015,94.6,A
USGS,1589000,12/13/2015,90.7,A
USGS,1589000,12/14/2015,83.6,A
USGS,1589000,12/15/2015,106,A
USGS,1589000,12/16/2015,94.2,A
USGS,1589000,12/17/2015,110,A
USGS,1589000,12/18/2015,156,A
USGS,1589000,12/19/2015,119,A
USGS,1589000,12/20/2015,94.5,A
USGS,1589000,12/21/2015,86.9,A
USGS,1589000,12/22/2015,95.3,A
USGS,1589000,12/23/2015,164,A
USGS,1589000,12/24/2015,406,A
USGS,1589000,12/25/2015,600,A
USGS,1589000,12/26/2015,737,A
USGS,1589000,12/27/2015,406,A
USGS,1589000,12/28/2015,316,A
USGS,1589000,12/29/2015,539,A
USGS,1589000,12/30/2015,445,A
USGS,1589000,12/31/2015,374,A
USGS,1589000,1/1/2016,298,A
USGS,1589000,1/2/2016,251,A
USGS,1589000,1/3/2016,226,A
USGS,1589000,1/4/2016,208,A
USGS,1589000,1/5/2016,172,A
USGS,1589000,1/6/2016,133,A
USGS,1589000,1/7/2016,135,A
USGS,1589000,1/8/2016,138,A
USGS,1589000,1/9/2016,148,A
USGS,1589000,1/10/2016,568,A
USGS,1589000,1/11/2016,433,A
USGS,1589000,1/12/2016,311,A
USGS,1589000,1/13/2016,262,A
USGS,1589000,1/14/2016,211,A
USGS,1589000,1/15/2016,189,A
USGS,1589000,1/16/2016,293,A
USGS,1589000,1/17/2016,258,A
USGS,1589000,1/18/2016,234,A
USGS,1589000,1/19/2016,185,A:e
USGS,1589000,1/20/2016,167,A:e
USGS,1589000,1/21/2016,156,A:e
USGS,1589000,1/22/2016,145,A:e
USGS,1589000,1/23/2016,206,A:e
USGS,1589000,1/24/2016,406,A:e
USGS,1589000,1/25/2016,279,A:e
USGS,1589000,1/26/2016,250,A:e
USGS,1589000,1/27/2016,220,A:e
USGS,1589000,1/28/2016,177,A
USGS,1589000,1/29/2016,181,A
USGS,1589000,1/30/2016,164,A
USGS,1589000,1/31/2016,163,A
USGS,1589000,2/1/2016,243,A
USGS,1589000,2/2/2016,367,A
USGS,1589000,2/3/2016,1130,A
USGS,1589000,2/4/2016,2700,A
USGS,1589000,2/5/2016,1490,A
USGS,1589000,2/6/2016,896,A
USGS,1589000,2/7/2016,674,A
USGS,1589000,2/8/2016,551,A
USGS,1589000,2/9/2016,547,A
USGS,1589000,2/10/2016,517,A
USGS,1589000,2/11/2016,435,A
USGS,1589000,2/12/2016,366,A
USGS,1589000,2/13/2016,350,A
USGS,1589000,2/14/2016,280,A
USGS,1589000,2/15/2016,281,A
USGS,1589000,2/16/2016,897,A
USGS,1589000,2/17/2016,963,A
USGS,1589000,2/18/2016,670,A
USGS,1589000,2/19/2016,509,A
USGS,1589000,2/20/2016,456,A
USGS,1589000,2/21/2016,464,A
USGS,1589000,2/22/2016,462,A
USGS,1589000,2/23/2016,523,A
USGS,1589000,2/24/2016,1010,A
USGS,1589000,2/25/2016,1940,A
USGS,1589000,2/26/2016,1020,A
USGS,1589000,2/27/2016,716,A
USGS,1589000,2/28/2016,603,A
USGS,1589000,2/29/2016,535,A
USGS,1589000,3/1/2016,486,A
USGS,1589000,3/2/2016,487,A
USGS,1589000,3/3/2016,418,A
USGS,1589000,3/4/2016,423,A
USGS,1589000,3/5/2016,395,A
USGS,1589000,3/6/2016,376,A
USGS,1589000,3/7/2016,354,A
USGS,1589000,3/8/2016,345,A
USGS,1589000,3/9/2016,336,A
USGS,1589000,3/10/2016,322,A
USGS,1589000,3/11/2016,318,A
USGS,1589000,3/12/2016,303,A
USGS,1589000,3/13/2016,319,A
USGS,1589000,3/14/2016,608,A
USGS,1589000,3/15/2016,492,A
USGS,1589000,3/16/2016,421,A
USGS,1589000,3/17/2016,377,A
USGS,1589000,3/18/2016,342,A
USGS,1589000,3/19/2016,332,A
USGS,1589000,3/20/2016,377,A
USGS,1589000,3/21/2016,344,A
USGS,1589000,3/22/2016,299,A
USGS,1589000,3/23/2016,292,A
USGS,1589000,3/24/2016,294,A
USGS,1589000,3/25/2016,293,A
USGS,1589000,3/26/2016,272,A
USGS,1589000,3/27/2016,254,A
USGS,1589000,3/28/2016,344,A
USGS,1589000,3/29/2016,322,A
USGS,1589000,3/30/2016,265,A
USGS,1589000,3/31/2016,257,A
USGS,1589000,4/1/2016,251,A
USGS,1589000,4/2/2016,280,A
USGS,1589000,4/3/2016,296,A
USGS,1589000,4/4/2016,236,A
USGS,1589000,4/5/2016,265,A
USGS,1589000,4/6/2016,220,A
USGS,1589000,4/7/2016,525,A
USGS,1589000,4/8/2016,566,A
USGS,1589000,4/9/2016,468,A
USGS,1589000,4/10/2016,387,A
USGS,1589000,4/11/2016,332,A
USGS,1589000,4/12/2016,311,A
USGS,1589000,4/13/2016,274,A
USGS,1589000,4/14/2016,260,A
USGS,1589000,4/15/2016,238,A
USGS,1589000,4/16/2016,230,A
USGS,1589000,4/17/2016,222,A
USGS,1589000,4/18/2016,213,A
USGS,1589000,4/19/2016,206,A
USGS,1589000,4/20/2016,185,A
USGS,1589000,4/21/2016,169,A
USGS,1589000,4/22/2016,169,A
USGS,1589000,4/23/2016,201,A
USGS,1589000,4/24/2016,190,A
USGS,1589000,4/25/2016,169,A
USGS,1589000,4/26/2016,163,A
USGS,1589000,4/27/2016,157,A
USGS,1589000,4/28/2016,169,A
USGS,1589000,4/29/2016,186,A
USGS,1589000,4/30/2016,181,A
USGS,1589000,5/1/2016,254,A
USGS,1589000,5/2/2016,305,A
USGS,1589000,5/3/2016,336,A
USGS,1589000,5/4/2016,340,A
USGS,1589000,5/5/2016,298,A
USGS,1589000,5/6/2016,461,A
USGS,1589000,5/7/2016,715,A
USGS,1589000,5/8/2016,497,A
USGS,1589000,5/9/2016,373,A
USGS,1589000,5/10/2016,319,A
USGS,1589000,5/11/2016,343,A
USGS,1589000,5/12/2016,322,A
USGS,1589000,5/13/2016,291,A
USGS,1589000,5/14/2016,274,A
USGS,1589000,5/15/2016,261,A
USGS,1589000,5/16/2016,214,A
USGS,1589000,5/17/2016,205,A
USGS,1589000,5/18/2016,220,A
USGS,1589000,5/19/2016,202,A
USGS,1589000,5/20/2016,184,A
USGS,1589000,5/21/2016,205,A
USGS,1589000,5/22/2016,254,A
USGS,1589000,5/23/2016,289,A
USGS,1589000,5/24/2016,254,A
USGS,1589000,5/25/2016,211,A
USGS,1589000,5/26/2016,174,A
USGS,1589000,5/27/2016,150,A
USGS,1589000,5/28/2016,135,A
USGS,1589000,5/29/2016,163,A
USGS,1589000,5/30/2016,197,A
USGS,1589000,5/31/2016,154,A
USGS,1589000,6/1/2016,137,A
USGS,1589000,6/2/2016,119,A
USGS,1589000,6/3/2016,116,A
USGS,1589000,6/4/2016,157,A
USGS,1589000,6/5/2016,154,A
USGS,1589000,6/6/2016,219,A
USGS,1589000,6/7/2016,160,A
USGS,1589000,6/8/2016,139,A
USGS,1589000,6/9/2016,115,A
USGS,1589000,6/10/2016,100,A
USGS,1589000,6/11/2016,90.9,A
USGS,1589000,6/12/2016,84.3,A
USGS,1589000,6/13/2016,83.1,A
USGS,1589000,6/14/2016,77.4,A
USGS,1589000,6/15/2016,78.6,A
USGS,1589000,6/16/2016,119,A
USGS,1589000,6/17/2016,150,A
USGS,1589000,6/18/2016,95.1,A
USGS,1589000,6/19/2016,82.9,A
USGS,1589000,6/20/2016,77.1,A
USGS,1589000,6/21/2016,177,A
USGS,1589000,6/22/2016,196,A
USGS,1589000,6/23/2016,126,A
USGS,1589000,6/24/2016,330,A
USGS,1589000,6/25/2016,185,A
USGS,1589000,6/26/2016,115,A
USGS,1589000,6/27/2016,96.1,A
USGS,1589000,6/28/2016,151,A
USGS,1589000,6/29/2016,191,A
USGS,1589000,6/30/2016,119,A
USGS,1589000,7/1/2016,95.4,A
USGS,1589000,7/2/2016,88.8,A
USGS,1589000,7/3/2016,81.4,A
USGS,1589000,7/4/2016,86.5,A
USGS,1589000,7/5/2016,198,A
USGS,1589000,7/6/2016,113,A
USGS,1589000,7/7/2016,88.6,A
USGS,1589000,7/8/2016,80.4,A
USGS,1589000,7/9/2016,80,A
